filename,width,height,class,xmin,ymin,xmax,ymax
/content/models/research/object_detection/images/train/nike_127.jpg,1366,768,nike,556,436,599,457
/content/models/research/object_detection/images/train/nike_46_random_rotation_0.jpg,2048,1536,nike,904,582,1037,659
/content/models/research/object_detection/images/train/nike_114_random_rotation_0.jpg,1366,768,nike,364,408,433,449
/content/models/research/object_detection/images/train/nike_229_resize_0.jpg,255,296,nike,486,304,540,339
/content/models/research/object_detection/images/train/nike_229_resize_0.jpg,255,296,nike,329,248,529,347
/content/models/research/object_detection/images/train/nike_229_resize_0.jpg,255,296,nike,497,497,518,518
/content/models/research/object_detection/images/train/nike_1_random_hsv_0.jpg,640,410,nike,240,252,362,322
/content/models/research/object_detection/images/train/nike_262_resize_0.jpg,290,174,nike,551,474,660,540
/content/models/research/object_detection/images/train/nike_262_resize_0.jpg,290,174,nike,251,568,314,589
/content/models/research/object_detection/images/train/nike_10.jpg,1024,1024,nike,465,447,684,609
/content/models/research/object_detection/images/train/nike_10.jpg,1024,1024,nike,613,212,836,301
/content/models/research/object_detection/images/train/nike_286_random_hsv_random_rotation_2_0.jpg,1600,1600,nike,756,1127,920,1217
/content/models/research/object_detection/images/train/nike_291.jpg,680,440,nike,101,131,197,171
/content/models/research/object_detection/images/train/nike_219_random_hsv_random_shear_2_0.jpg,1000,1000,nike,437,285,700,410
/content/models/research/object_detection/images/train/nike_218_random_rotation_0.jpg,255,549,nike,79,207,116,224
/content/models/research/object_detection/images/train/nike_34_resize_0.jpg,640,640,nike,182,70,751,385
/content/models/research/object_detection/images/train/nike_117_random_rotation_0.jpg,1366,768,nike,692,397,717,414
/content/models/research/object_detection/images/train/nike_14_random_hsv_0.jpg,367,276,nike,162,96,256,134
/content/models/research/object_detection/images/train/nike_14_random_hsv_0.jpg,367,276,nike,176,217,272,253
/content/models/research/object_detection/images/train/nike_202_resize_0.jpg,381,440,nike,132,320,223,354
/content/models/research/object_detection/images/train/nike_128_random_hsv_random_rotation_2_0.jpg,1366,768,nike,659,316,691,333
/content/models/research/object_detection/images/train/nike_230_random_hsv_random_rotation_2_0.jpg,255,296,nike,158,112,176,124
/content/models/research/object_detection/images/train/nike_230_random_hsv_random_rotation_2_0.jpg,255,296,nike,166,181,174,189
/content/models/research/object_detection/images/train/nike_230_random_hsv_random_rotation_2_0.jpg,255,296,nike,104,93,175,132
/content/models/research/object_detection/images/train/nike_45_random_hsv_random_rotation_2_0.jpg,640,640,nike,156,248,235,285
/content/models/research/object_detection/images/train/nike_45_random_hsv_random_rotation_2_0.jpg,640,640,nike,398,130,538,209
/content/models/research/object_detection/images/train/nike_45_random_hsv_random_rotation_2_0.jpg,640,640,nike,443,370,528,424
/content/models/research/object_detection/images/train/nike_45_random_hsv_random_rotation_2_0.jpg,640,640,nike,165,484,226,585
/content/models/research/object_detection/images/train/nike_106.jpg,1366,768,nike,748,294,838,329
/content/models/research/object_detection/images/train/nike_58_random_rotation_0.jpg,640,428,nike,279,194,398,276
/content/models/research/object_detection/images/train/nike_117_random_hsv_random_shear_2_0.jpg,1366,768,nike,696,398,722,415
/content/models/research/object_detection/images/train/nike_276_resize_0.jpg,480,320,nike,124,243,411,361
/content/models/research/object_detection/images/train/nike_257_resize_0.jpg,275,183,nike,229,213,706,586
/content/models/research/object_detection/images/train/nike_274_random_hsv_0.jpg,1000,1000,nike,441,562,525,602
/content/models/research/object_detection/images/train/nike_105_random_rotation_0.jpg,1366,768,nike,411,352,443,377
/content/models/research/object_detection/images/train/nike_105_random_rotation_0.jpg,1366,768,nike,524,436,555,458
/content/models/research/object_detection/images/train/nike_105_random_rotation_0.jpg,1366,768,nike,810,319,840,337
/content/models/research/object_detection/images/train/nike_274_random_rotation_0.jpg,1000,1000,nike,441,561,525,602
/content/models/research/object_detection/images/train/nike_230_random_hsv_random_shear_2_0.jpg,255,296,nike,157,114,173,126
/content/models/research/object_detection/images/train/nike_230_random_hsv_random_shear_2_0.jpg,255,296,nike,142,186,151,194
/content/models/research/object_detection/images/train/nike_230_random_hsv_random_shear_2_0.jpg,255,296,nike,117,94,178,130
/content/models/research/object_detection/images/train/nike_273.jpg,1140,800,nike,276,368,546,479
/content/models/research/object_detection/images/train/nike_256_random_hsv_0.jpg,201,251,nike,41,183,104,208
/content/models/research/object_detection/images/train/nike_141_random_hsv_random_shear_2_0.jpg,1366,768,nike,373,435,402,452
/content/models/research/object_detection/images/train/nike_141_random_hsv_random_shear_2_0.jpg,1366,768,nike,512,374,544,394
/content/models/research/object_detection/images/train/nike_15.jpg,640,495,nike,233,328,301,369
/content/models/research/object_detection/images/train/nike_15.jpg,640,495,nike,467,234,499,250
/content/models/research/object_detection/images/train/nike_235_resize_0.jpg,400,400,nike,267,448,952,955
/content/models/research/object_detection/images/train/nike_234.jpg,200,200,nike,48,118,88,136
/content/models/research/object_detection/images/train/nike_292_resize_0.jpg,494,275,nike,121,226,310,315
/content/models/research/object_detection/images/train/nike_229_random_rotation_0.jpg,255,296,nike,160,113,179,126
/content/models/research/object_detection/images/train/nike_229_random_rotation_0.jpg,255,296,nike,102,92,176,131
/content/models/research/object_detection/images/train/nike_229_random_rotation_0.jpg,255,296,nike,166,183,174,191
/content/models/research/object_detection/images/train/nike_5_random_hsv_0.jpg,640,480,nike,182,192,226,314
/content/models/research/object_detection/images/train/nike_277_random_rotation_0.jpg,800,800,nike,119,426,484,554
/content/models/research/object_detection/images/train/nike_51_resize_0.jpg,640,480,nike,68,277,783,555
/content/models/research/object_detection/images/train/nike_211_random_hsv_0.jpg,750,563,nike,259,315,334,393
/content/models/research/object_detection/images/train/nike_211_random_hsv_0.jpg,750,563,nike,383,289,449,327
/content/models/research/object_detection/images/train/nike_211_random_hsv_0.jpg,750,563,nike,367,256,381,273
/content/models/research/object_detection/images/train/nike_240_random_hsv_0.jpg,250,202,nike,147,68,229,103
/content/models/research/object_detection/images/train/nike_18_random_hsv_0.jpg,640,428,nike,245,208,322,295
/content/models/research/object_detection/images/train/nike_236_resize_0.jpg,1600,900,nike,230,229,395,402
/content/models/research/object_detection/images/train/nike_103.jpg,1366,768,nike,542,415,562,433
/content/models/research/object_detection/images/train/nike_43_random_hsv_random_rotation_2_0.jpg,640,480,nike,305,178,456,349
/content/models/research/object_detection/images/train/nike_227_random_rotation_0.jpg,1600,825,nike,1274,193,1432,254
/content/models/research/object_detection/images/train/nike_227_random_rotation_0.jpg,1600,825,nike,802,457,821,472
/content/models/research/object_detection/images/train/nike_227_random_rotation_0.jpg,1600,825,nike,608,479,637,493
/content/models/research/object_detection/images/train/nike_227_random_rotation_0.jpg,1600,825,nike,452,435,473,452
/content/models/research/object_detection/images/train/nike_227_random_rotation_0.jpg,1600,825,nike,770,280,793,291
/content/models/research/object_detection/images/train/nike_227_random_rotation_0.jpg,1600,825,nike,583,233,613,248
/content/models/research/object_detection/images/train/nike_227_random_rotation_0.jpg,1600,825,nike,430,230,458,242
/content/models/research/object_detection/images/train/nike_227_random_rotation_0.jpg,1600,825,nike,1005,719,1058,746
/content/models/research/object_detection/images/train/nike_227_random_rotation_0.jpg,1600,825,nike,1034,692,1071,709
/content/models/research/object_detection/images/train/nike_227_random_rotation_0.jpg,1600,825,nike,866,733,913,751
/content/models/research/object_detection/images/train/nike_227_random_rotation_0.jpg,1600,825,nike,568,670,591,694
/content/models/research/object_detection/images/train/nike_227_random_rotation_0.jpg,1600,825,nike,419,687,448,715
/content/models/research/object_detection/images/train/nike_14_random_hsv_random_rotation_2_0.jpg,367,276,nike,159,93,249,137
/content/models/research/object_detection/images/train/nike_14_random_hsv_random_rotation_2_0.jpg,367,276,nike,187,194,278,235
/content/models/research/object_detection/images/train/nike_37_random_rotation_0.jpg,640,424,nike,211,151,453,264
/content/models/research/object_detection/images/train/nike_23.jpg,640,426,nike,158,246,319,326
/content/models/research/object_detection/images/train/nike_23.jpg,640,426,nike,363,80,503,264
/content/models/research/object_detection/images/train/nike_221_random_hsv_random_shear_2_0.jpg,228,350,nike,51,124,157,254
/content/models/research/object_detection/images/train/nike_133_resize_0.jpg,1366,768,nike,343,633,364,650
